signal_id,signal_ts,ticker,direction,delta_target,quote_ts,expir,spot_entry,long_strike,short_strike,width,debit,risk_reward,spot_exit,payoff,pnl,return
3801,2025-04-09 16:25:00+00:00,TPR,call,0.55,2025-04-09 16:24:49+00:00,2025-04-11 00:00:00+00:00,59.61,59.0,64.0,5.0,2.4,1.083,63.41,4.41,2.01,0.837
3802,2025-04-09 15:10:00+00:00,TSM,call,0.1,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,155.0,160.0,5.0,0.24,19.833,157.06,2.06,1.82,7.583
3802,2025-04-09 15:10:00+00:00,TSM,call,0.15,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,152.5,157.5,5.0,0.4,11.5,157.06,4.56,4.16,10.4
3802,2025-04-09 15:10:00+00:00,TSM,call,0.2,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,149.0,155.0,6.0,0.82,6.317,157.06,6.0,5.18,6.317
3802,2025-04-09 15:10:00+00:00,TSM,call,0.25,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,148.0,152.5,4.5,0.81,4.556,157.06,4.5,3.69,4.556
3802,2025-04-09 15:10:00+00:00,TSM,call,0.3,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,146.0,152.5,6.5,1.36,3.779,157.06,6.5,5.14,3.779
3802,2025-04-09 15:10:00+00:00,TSM,call,0.35,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,144.0,150.0,6.0,1.69,2.55,157.06,6.0,4.31,2.55
3802,2025-04-09 15:10:00+00:00,TSM,call,0.4,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,143.0,149.0,6.0,1.96,2.061,157.06,6.0,4.04,2.061
3802,2025-04-09 15:10:00+00:00,TSM,call,0.45,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,142.0,149.0,7.0,2.36,1.966,157.06,7.0,4.64,1.966
3802,2025-04-09 15:10:00+00:00,TSM,call,0.5,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,140.0,148.0,8.0,3.14,1.548,157.06,8.0,4.86,1.548
3802,2025-04-09 15:10:00+00:00,TSM,call,0.55,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,139.0,147.0,8.0,3.44,1.326,157.06,8.0,4.56,1.326
3802,2025-04-09 15:10:00+00:00,TSM,call,0.6,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,137.0,146.0,9.0,4.36,1.064,157.06,9.0,4.64,1.064
3802,2025-04-09 15:10:00+00:00,TSM,call,0.65,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,136.0,145.0,9.0,4.68,0.923,157.06,9.0,4.32,0.923
3802,2025-04-09 15:10:00+00:00,TSM,call,0.7,2025-04-09 15:10:01+00:00,2025-04-11 00:00:00+00:00,139.56,134.0,145.0,11.0,6.08,0.809,157.06,11.0,4.92,0.809
3804,2025-04-09 16:20:00+00:00,TWLO,call,0.4,2025-04-09 16:19:54+00:00,2025-04-11 00:00:00+00:00,79.42,81.0,85.0,4.0,1.54,1.597,86.9,4.0,2.46,1.597
3804,2025-04-09 16:20:00+00:00,TWLO,call,0.45,2025-04-09 16:19:54+00:00,2025-04-11 00:00:00+00:00,79.42,81.0,85.0,4.0,1.54,1.597,86.9,4.0,2.46,1.597
3804,2025-04-09 16:20:00+00:00,TWLO,call,0.55,2025-04-09 16:19:54+00:00,2025-04-11 00:00:00+00:00,79.42,79.0,84.0,5.0,2.7,0.852,86.9,5.0,2.3,0.852
3806,2025-04-09 15:20:00+00:00,UNP,call,0.45,2025-04-09 15:19:53+00:00,2025-04-11 00:00:00+00:00,208.46,210.0,217.5,7.5,3.9,0.923,218.63,7.5,3.6,0.923
3813,2025-04-10 16:05:00+00:00,AFRM,call,0.2,2025-04-10 16:04:56+00:00,2025-04-11 00:00:00+00:00,39.95,43.0,49.0,6.0,0.18,32.333,40.52,0.0,-0.18,-1.0
3813,2025-04-10 16:05:00+00:00,AFRM,call,0.25,2025-04-10 16:04:56+00:00,2025-04-11 00:00:00+00:00,39.95,42.5,48.0,5.5,0.2,26.5,40.52,0.0,-0.2,-1.0
3813,2025-04-10 16:05:00+00:00,AFRM,call,0.4,2025-04-10 16:04:56+00:00,2025-04-11 00:00:00+00:00,39.95,41.0,43.0,2.0,0.68,1.941,40.52,0.0,-0.68,-1.0
3813,2025-04-10 16:05:00+00:00,AFRM,call,0.45,2025-04-10 16:04:56+00:00,2025-04-11 00:00:00+00:00,39.95,40.5,45.5,5.0,0.52,8.615,40.52,0.02,-0.5,-0.962
3813,2025-04-10 16:05:00+00:00,AFRM,call,0.75,2025-04-10 16:04:56+00:00,2025-04-11 00:00:00+00:00,39.95,37.5,42.5,5.0,1.53,2.268,40.52,3.02,1.49,0.974
3816,2025-04-10 16:35:00+00:00,AMD,call,0.45,2025-04-10 16:34:53+00:00,2025-04-11 00:00:00+00:00,87.0,88.0,97.0,9.0,1.0,8.0,93.33,5.33,4.33,4.33
3817,2025-04-10 14:25:00+00:00,ANET,call,0.45,2025-04-10 14:25:01+00:00,2025-04-11 00:00:00+00:00,73.38,74.0,80.0,6.0,0.85,6.059,72.5,0.0,-0.85,-1.0
3817,2025-04-10 14:25:00+00:00,ANET,call,0.55,2025-04-10 14:25:01+00:00,2025-04-11 00:00:00+00:00,73.38,73.0,76.0,3.0,1.45,1.069,72.5,0.0,-1.45,-1.0
3817,2025-04-10 14:25:00+00:00,ANET,call,0.7,2025-04-10 14:25:01+00:00,2025-04-11 00:00:00+00:00,73.38,71.0,77.0,6.0,1.85,2.243,72.5,1.5,-0.35,-0.189
3817,2025-04-10 14:25:00+00:00,ANET,call,0.8,2025-04-10 14:25:01+00:00,2025-04-11 00:00:00+00:00,73.38,69.0,76.0,7.0,3.1,1.258,72.5,3.5,0.4,0.129
3817,2025-04-10 14:25:00+00:00,ANET,call,0.85,2025-04-10 14:25:01+00:00,2025-04-11 00:00:00+00:00,73.38,68.0,75.0,7.0,3.6,0.944,72.5,4.5,0.9,0.25
3818,2025-04-10 14:40:00+00:00,APP,call,0.15,2025-04-10 14:39:50+00:00,2025-04-11 00:00:00+00:00,274.58,300.0,310.0,10.0,1.2,7.333,249.67,0.0,-1.2,-1.0
3818,2025-04-10 14:40:00+00:00,APP,call,0.2,2025-04-10 14:39:50+00:00,2025-04-11 00:00:00+00:00,274.58,295.0,307.5,12.5,2.0,5.25,249.67,0.0,-2.0,-1.0
3818,2025-04-10 14:40:00+00:00,APP,call,0.3,2025-04-10 14:39:50+00:00,2025-04-11 00:00:00+00:00,274.58,287.5,300.0,12.5,3.0,3.167,249.67,0.0,-3.0,-1.0
3818,2025-04-10 14:40:00+00:00,APP,call,0.5,2025-04-10 14:39:50+00:00,2025-04-11 00:00:00+00:00,274.58,275.0,310.0,35.0,3.3,9.606,249.67,0.0,-3.3,-1.0
3820,2025-04-10 14:15:00+00:00,BAC,call,0.25,2025-04-10 14:14:51+00:00,2025-04-11 00:00:00+00:00,35.5,37.0,38.0,1.0,0.21,3.762,35.92,0.0,-0.21,-1.0
3820,2025-04-10 14:15:00+00:00,BAC,call,0.5,2025-04-10 14:14:51+00:00,2025-04-11 00:00:00+00:00,35.5,35.5,38.0,2.5,0.41,5.098,35.92,0.42,0.01,0.024
3820,2025-04-10 14:15:00+00:00,BAC,call,0.6,2025-04-10 14:14:51+00:00,2025-04-11 00:00:00+00:00,35.5,35.0,37.5,2.5,0.55,3.545,35.92,0.92,0.37,0.673
3820,2025-04-10 14:15:00+00:00,BAC,call,0.7,2025-04-10 14:14:51+00:00,2025-04-11 00:00:00+00:00,35.5,34.5,36.5,2.0,1.08,0.852,35.92,1.42,0.34,0.315
3820,2025-04-10 14:15:00+00:00,BAC,call,0.9,2025-04-10 14:14:51+00:00,2025-04-11 00:00:00+00:00,35.5,32.5,36.0,3.5,1.89,0.852,35.92,3.42,1.53,0.81
3821,2025-04-10 14:35:00+00:00,BE,call,0.75,2025-04-10 14:34:41+00:00,2025-04-11 00:00:00+00:00,17.54,16.5,18.5,2.0,0.8,1.5,17.52,1.02,0.22,0.275
3824,2025-04-10 14:25:00+00:00,BILL,call,0.75,2025-04-10 14:24:47+00:00,2025-04-11 00:00:00+00:00,41.28,39.5,43.0,3.5,1.25,1.8,41.53,2.03,0.78,0.624
3824,2025-04-10 14:25:00+00:00,BILL,call,0.85,2025-04-10 14:24:47+00:00,2025-04-11 00:00:00+00:00,41.28,38.0,42.5,4.5,2.4,0.875,41.53,3.53,1.13,0.471
3825,2025-04-10 19:55:00+00:00,C,call,0.3,2025-04-10 19:55:00+00:00,2025-04-11 00:00:00+00:00,61.66,64.0,69.0,5.0,0.35,13.286,61.58,0.0,-0.35,-1.0
3826,2025-04-10 14:30:00+00:00,CEG,call,0.5,2025-04-10 14:30:00+00:00,2025-04-11 00:00:00+00:00,207.51,207.5,222.5,15.0,3.2,3.688,208.22,0.72,-2.48,-0.775
3827,2025-04-10 14:35:00+00:00,CLF,call,0.4,2025-04-10 14:34:47+00:00,2025-04-11 00:00:00+00:00,7.3,7.5,8.5,1.0,0.08,11.5,7.33,0.0,-0.08,-1.0
3827,2025-04-10 14:35:00+00:00,CLF,call,0.7,2025-04-10 14:34:47+00:00,2025-04-11 00:00:00+00:00,7.3,7.0,8.0,1.0,0.29,2.448,7.33,0.33,0.04,0.138
3831,2025-04-10 15:35:00+00:00,CRM,call,0.5,2025-04-10 15:34:57+00:00,2025-04-11 00:00:00+00:00,254.89,255.0,267.5,12.5,2.33,4.365,254.95,0.0,-2.33,-1.0
